,ltime,btcsum
0,2024-03-13 22:59:40,0.00254988561113579
1,2024-03-14 12:51:44,0.002164999354900339
2,2024-03-14 08:44:26,0.001488403144731019
3,2024-03-14 08:17:45,0.0012907855002387229
4,2024-03-14 06:45:27,0.0011152206174839124
5,2024-03-14 12:54:55,0.0010524302419654427
6,2024-03-14 07:43:25,0.0010389945202531688
7,2024-03-14 07:14:58,0.0009585036147691558
8,2024-03-14 08:23:49,0.0009376939811805418
9,2024-03-15 14:14:40,0.000882443167188285
10,2024-03-14 12:53:15,0.0007896233758289292
11,2024-03-14 01:48:18,0.000783666391731318
12,2024-03-14 04:44:00,0.0007246279157770416
13,2024-03-14 08:41:38,0.0006697814151289585
14,2024-03-14 08:46:02,0.0006697814151289585
15,2024-03-13 21:50:27,0.0006570311388023522
16,2024-03-15 14:54:53,0.0006789738064968698
17,2024-03-13 20:19:57,0.0005227214680094904
18,2024-03-13 21:07:01,0.0005199583218387395
19,2024-03-14 04:28:30,0.0004918241871771931
20,2024-03-14 12:51:28,0.0004961456854979943
21,2024-03-14 12:52:45,0.00047359360888444917
22,2024-03-14 12:53:26,0.00046607625001326747
23,2024-03-14 12:45:31,0.000451041532270904
24,2024-03-15 14:54:31,0.0004737026556954904
25,2024-03-13 22:35:25,0.0004424801501676813
26,2024-03-14 04:58:20,0.0004352584513638356
27,2024-03-13 23:23:22,0.0004192946407613439
28,2024-03-13 20:47:01,0.0003908884909821154
29,2024-03-14 12:40:59,0.0003909026613014501
30,2024-03-14 06:12:02,0.00037392693313568695
31,2024-03-14 08:28:21,0.00033489070756447924
32,2024-03-14 07:30:31,0.0002968555772151911
33,2024-03-14 05:41:12,0.0002811350768382305
34,2024-03-14 08:52:19,0.0002678158773936337
35,2024-03-14 08:16:22,0.0002606594305813253
36,2024-03-13 19:55:26,0.0002443464275467363
37,2024-03-13 22:08:39,0.00022787638996442735
38,2024-03-13 20:28:25,0.0002240639314559227
39,2024-03-14 05:34:54,0.00021409325309653274
40,2024-03-14 12:51:33,0.0001539555096818019
41,2024-03-14 12:46:06,0.00015034717742363465
42,2024-03-14 07:08:51,0.0001486960823311883
43,2024-03-14 02:53:45,7.48030845645867e-05
44,2024-03-14 12:51:18,7.517358871181733e-05
45,2024-03-14 13:05:30,7.51360476765622e-05
46,2024-03-14 12:50:37,4.51041532270904e-05
47,2024-03-14 13:37:43,4.513858214355558e-05
48,2024-03-14 13:19:04,4.508162860593732e-05
49,2024-03-06 08:27:04,0.00420231084147108
50,2024-03-06 09:15:38,0.003733354287584152
51,2024-03-06 09:11:58,0.002019911869846677
52,2024-03-06 08:51:53,0.0018463308254216414
53,2024-03-06 07:25:33,0.0011133229551980907
54,2024-03-06 08:16:24,0.001029769020657484
55,2024-03-06 09:10:59,0.0009181566881555097
56,2024-03-06 05:39:23,0.0009180728826355497
57,2024-03-06 08:52:01,0.0008375244338388661
58,2024-03-06 06:05:21,0.0007381263809360922
