,0,1,btc
238,19339148,193391,61757.434918791216
239,19339151,193391,61757.434918791216
240,19339152,193391,61757.434918791216
241,19339153,193391,61757.434918791216
242,19339155,193391,61757.434918791216
243,19339156,193391,61757.434918791216
244,19339160,193391,61757.434918791216
245,19339161,193391,61757.434918791216
246,19339163,193391,61757.434918791216
247,19339166,193391,61757.434918791216
248,19342769,193427,62500.72721676769
249,19342770,193427,62500.72721676769
250,19342771,193427,62500.72721676769
251,19342775,193427,62500.72721676769
252,19342777,193427,62500.72721676769
253,19342786,193427,62500.72721676769
254,19342787,193427,62500.72721676769
255,19342790,193427,62500.72721676769
256,19342791,193427,62500.72721676769
257,19342793,193427,62500.72721676769
258,19342796,193427,62500.72721676769
259,19342797,193427,62500.72721676769
260,19342800,193428,62702.29007603184
261,19342804,193428,62702.29007603184
262,19342805,193428,62702.29007603184
263,19342806,193428,62702.29007603184
264,19342807,193428,62702.29007603184
265,19342809,193428,62702.29007603184
266,19342811,193428,62702.29007603184
267,19342812,193428,62702.29007603184
268,19342814,193428,62702.29007603184
269,19342818,193428,62702.29007603184
270,19342827,193428,62702.29007603184
271,19342828,193428,62702.29007603184
272,19342829,193428,62702.29007603184
273,19342831,193428,62702.29007603184
274,19342832,193428,62702.29007603184
275,19342833,193428,62702.29007603184
276,19342835,193428,62702.29007603184
277,19342836,193428,62702.29007603184
278,19342837,193428,62702.29007603184
279,19342839,193428,62702.29007603184
280,19342842,193428,62702.29007603184
281,19342843,193428,62702.29007603184
282,19342845,193428,62702.29007603184
283,19342846,193428,62702.29007603184
284,19342847,193428,62702.29007603184
285,19342848,193428,62702.29007603184
286,19342849,193428,62702.29007603184
287,19342851,193428,62702.29007603184
288,19342853,193428,62702.29007603184
289,19342854,193428,62702.29007603184
290,19342858,193428,62702.29007603184
291,19342859,193428,62702.29007603184
292,19342861,193428,62702.29007603184
293,19342862,193428,62702.29007603184
294,19342866,193428,62702.29007603184
295,19342870,193428,62702.29007603184
296,19342872,193428,62702.29007603184
297,19342873,193428,62702.29007603184
298,19342874,193428,62702.29007603184
299,19342876,193428,62702.29007603184
300,19342877,193428,62702.29007603184
301,19342878,193428,62702.29007603184
302,19342879,193428,62702.29007603184
303,19342880,193428,62702.29007603184
304,19342883,193428,62702.29007603184
305,19342885,193428,62702.29007603184
306,19342886,193428,62702.29007603184
307,19342888,193428,62702.29007603184
308,19342890,193428,62702.29007603184
309,19342891,193428,62702.29007603184
310,19342896,193428,62702.29007603184
311,19342897,193428,62702.29007603184
312,19342898,193428,62702.29007603184
313,19342899,193428,62702.29007603184
314,19342900,193429,62492.57661998203
315,19342904,193429,62492.57661998203
316,19342906,193429,62492.57661998203
317,19342913,193429,62492.57661998203
318,19342915,193429,62492.57661998203
319,19342916,193429,62492.57661998203
320,19342918,193429,62492.57661998203
321,19342919,193429,62492.57661998203
322,19342920,193429,62492.57661998203
323,19342921,193429,62492.57661998203
324,19342922,193429,62492.57661998203
325,19342923,193429,62492.57661998203
326,19342924,193429,62492.57661998203
327,19342929,193429,62492.57661998203
328,19342930,193429,62492.57661998203
329,19342931,193429,62492.57661998203
330,19342933,193429,62492.57661998203
331,19342934,193429,62492.57661998203
332,19342936,193429,62492.57661998203
333,19342937,193429,62492.57661998203
334,19342938,193429,62492.57661998203
335,19342946,193429,62492.57661998203
336,19342948,193429,62492.57661998203
337,19342950,193429,62492.57661998203
338,19342951,193429,62492.57661998203
339,19342952,193429,62492.57661998203
340,19342953,193429,62492.57661998203
341,19342955,193429,62492.57661998203
342,19343351,193433,62461.501163584406
343,19343358,193433,62461.501163584406
344,19343363,193433,62461.501163584406
345,19343368,193433,62461.501163584406
346,19343374,193433,62461.501163584406
347,19343376,193433,62461.501163584406
348,19343379,193433,62461.501163584406
349,19343385,193433,62461.501163584406
350,19343386,193433,62461.501163584406
351,19343389,193433,62461.501163584406
352,19343394,193433,62461.501163584406
353,19343396,193433,62461.501163584406
354,19343407,193434,62516.70631924386
355,19343408,193434,62516.70631924386
356,19343415,193434,62516.70631924386
357,19343422,193434,62516.70631924386
358,19343424,193434,62516.70631924386
359,19343425,193434,62516.70631924386
360,19343426,193434,62516.70631924386
