#Date;Value 18:50 MSK
2024-04-01;92.3052
2024-03-29;92.3396
2024-03-28;92.4956
2024-03-27;92.1154
2024-03-26;92.7255
2024-03-25;92.664
2024-03-22;92.6483
2024-03-21;92.0721
2024-03-20;92.3994
2024-03-19;92.5305
2024-03-18;91.9348
2024-03-15;92.8489
2024-03-14;91.6608
2024-03-13;91.5697
2024-03-12;91.7265
2024-03-11;90.6661
2024-03-07;90.6604
2024-03-06;90.5555
2024-03-05;90.608
2024-03-04;91.2988
2024-03-01;91.6915
2024-02-29;91.0093
